mobile_suit_number	parts_type	parts_id	filedir
RX-78-2	head	01	/png/mobileSuits/RX-78-2/RX-78-2_01_head.png
RX-78-2	arms	02	/png/mobileSuits/RX-78-2/RX-78-2_02_arms.png
